Date Decided,Citation,Appellants,Respondents,Case Note
2022-08-08 (Page 18 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 19 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 20 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 21 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University","                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 1 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 2 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 3 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 4 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 5 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 6 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 7 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 8 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 9 of 21)                    MANU/DE/1262/2004                           OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 10 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 11 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 12 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 13 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 14 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 15 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 16 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 17 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 18 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 19 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 20 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University                                                                                   Source : Indian Law Reports Delhi

























































































2022-08-08 (Page 21 of 21)                    MANU/DE/1262/2004                          OP Jindal Global University",COULD NOT FIND CASE NOTE
"                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 1 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 2 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 3 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 4 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 5 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 6 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 7 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 8 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 9 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 10 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 11 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 12 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 13 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 14 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 15 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 16 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 17 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 18 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 19 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 20 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 21 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 22 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 23 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 24 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 25 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 26 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 27 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 28 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 29 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 30 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 31 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 32 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 33 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 34 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 35 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 36 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 37 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 38 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 39 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 40 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 41 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 42 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 43 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 44 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 45 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 46 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 47 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 48 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 49 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 50 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 51 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 52 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 53 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 54 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 55 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 56 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 57 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 58 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 59 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 60 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 61 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 62 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 63 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 64 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 65 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 66 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 67 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 68 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments































